Species	Isobase_id	Name	Ensembl_gene	KEGG	GO

#Cluster id: 16
#Entropy: 0.0
#Isologs:
ce	ce17241	let-70	M7.1	K06689	GO:0019787|GO:0031625
dm	dm12435	eff	FBgn0011217	K06689	GO:0004842|GO:0005515
mm	mm20021	Ube2d2	ENSMUSG00000037096	K06689	GO:0004842|GO:0005515
mm	mm20160				
mm	mm19512	AC107772.2	ENSMUSG00000061490		
sc	sc5348	UBC4	YBR082C	K06689	GO:0019787|GO:0016874|GO:0004842|GO:0005524|GO:0000166
hs	hs19300		ENSG00000149345|NP_003331.1		

#Cluster id: 62
#Entropy: 0.0
#Isologs:
mm	mm21138	Hist2h2be	ENSMUSG00000068854		GO:0005515|GO:0003677
sc	sc5553	HTB2	YBL002W		GO:0003677
hs	hs20148				

#Cluster id: 66
#Entropy: 0.721928
#Isologs:
ce	ce15708	ubc-1	C35B1.1	K10573	GO:0019787|GO:0004842|GO:0003684
dm	dm12352	UbcD6	FBgn0004436	K10573	GO:0004842
mm	mm19900	Ube2a	ENSMUSG00000016308	K10574	GO:0019787|GO:0016874|GO:0000166|GO:0005515|GO:0004842|GO:0005524
sc	sc5106	RAD6	YGL058W	K10573	GO:0019787|GO:0016874|GO:0004842|GO:0005524|GO:0000166
hs	hs19074	UBE2A	ENSG00000077721	K10573	GO:0031625|GO:0004842|GO:0000166|GO:0005515|GO:0016874|GO:0005524

#Cluster id: 132
#Entropy: 0.0
#Isologs:
ce	ce15265	rab-6.2	T25G12.4	K07976	GO:0003924|GO:0005515|GO:0005525
ce	ce15270	rab-6.1	F59B2.7	K07976	GO:0003924|GO:0005515|GO:0005525
dm	dm11014	Rab6	FBgn0015797	K07976	GO:0003924|GO:0005515|GO:0005525
sc	sc4679	YPT6	YLR262C	K07976	GO:0005525|GO:0003924|GO:0000166
hs	hs17024	RAB6A	ENSG00000175582		GO:0005525|GO:0003924|GO:0005515|GO:0000166

#Cluster id: 153
#Entropy: 1.58496
#Isologs:
ce	ce1691	TG325_CAEEL	C38D4.5		GO:0005515
dm	dm4358	CycG	FBgn0039858		GO:0016538
dm	dm1281				
dm	dm1160	CG2052	FBgn0039905		GO:0008270|GO:0003676
mm	mm17644	Snap25	ENSMUSG00000027273	K08508	GO:0005515|GO:0047485|GO:0000149|GO:0017022|GO:0005249|GO:0017075
sc	sc1484	YKU80	YMR106C	K10885	GO:0016787|GO:0004003|GO:0042162|GO:0004386|GO:0005488|GO:0003677|GO:0000166|GO:0003684|GO:0005524|GO:0003723
sc	sc2307	CLB2	YPR119W	K02220	GO:0016538
hs	hs1620	VCL	ENSG00000035403|P18206		GO:0008013|GO:0045294|GO:0045296|GO:0005198|GO:0003779|GO:0002166|GO:0017048|GO:0005515

#Cluster id: 167
#Entropy: 0.0
#Isologs:
mm	mm8751	Tubal3	ENSMUSG00000021216	K07374	GO:0005198|GO:0003924|GO:0005525|GO:0000166
sc	sc2660	TUB3	YML124C		GO:0005525|GO:0005200|GO:0003924|GO:0005198|GO:0000166
hs	hs9265	TUBAL3	ENSG00000178462	K07374	GO:0000166|GO:0003924|GO:0005525|GO:0005198

#Cluster id: 189
#Entropy: 0.0
#Isologs:
ce	ce19288	ned-8	F45H11.2		
ce	ce14019				
dm	dm13759	Nedd8	FBgn0032725		GO:0005515
mm	mm23109	Nedd8	ENSMUSG00000010376		GO:0005515
sc	sc6343	RUB1	YDR139C		GO:0031386
hs	hs21582	NEDD8	ENSG00000129559|NP_006147.1		GO:0005515

#Cluster id: 190
#Entropy: 0.0
#Isologs:
dm	dm12012	CG5440	FBgn0031331	K06689	GO:0004842
mm	mm17893	Ube2e2	ENSMUSG00000058317	K06689	GO:0019787|GO:0004842|GO:0016874|GO:0005524|GO:0000166
sc	sc5352	UBC5	YDR059C	K06689	GO:0019787|GO:0016874|GO:0004842|GO:0005524|GO:0000166
hs	hs17320	UBE2E2	ENSG00000182247	K06689	GO:0004842|GO:0042296|GO:0016874|GO:0005524|GO:0000166

#Cluster id: 220
#Entropy: 0.0
#Isologs:
ce	ce8883	kin-3	B0205.7	K03097	GO:0004674|GO:0005524|GO:0004672
dm	dm8276	CkIIalpha	FBgn0000258	K03097	GO:0004674|GO:0005524|GO:0004672
mm	mm10219				
mm	mm12005				
sc	sc3530	CKA2	YOR061W	K03097	GO:0016301|GO:0000166|GO:0004674|GO:0016740|GO:0004672|GO:0005524
hs	hs10736	CSNK2A1	ENSG00000101266|NP_001886.1	K03097	GO:0047485|GO:0000166|GO:0004674|GO:0016740|GO:0005515|GO:0005524

#Cluster id: 264
#Entropy: 0.881291
#Isologs:
ce	ce14260	kin-10	T01G9.6	K03115	GO:0019887
dm	dm10852				
dm	dm10431	CkIIbeta	FBgn0000259	K03115	GO:0004674|GO:0019887|GO:0004672
dm	dm10757	CkIIbeta2	FBgn0026136	K03115	GO:0019887|GO:0004672
dm	dm10773	Ssl	FBgn0015300	K03115	GO:0004674|GO:0004672|GO:0019887
dm	dm11878	Ste12DOR	FBgn0044817	K08282	GO:0019887
dm	dm11879			K08282	GO:0019887
dm	dm11758			K08282	GO:0019887
dm	dm11904	Ste:CG33242	FBgn0053242	K03115	GO:0019887
mm	mm17309	Csnk2b	ENSMUSG00000024387	K03115	GO:0005515|GO:0019887
sc	sc4275	CKB2	YOR039W	K03115	GO:0030291|GO:0019887
hs	hs16783		ENSG00000111968		

#Cluster id: 295
#Entropy: 0.0
#Isologs:
ce	ce13774	pas-3	Y110A7A.14	K02728	GO:0004175|GO:0004298
dm	dm9730	Pros29	FBgn0003150	K02728	
dm	dm10069	Prosalpha3T	FBgn0039819	K02728	
mm	mm15538	Psma4	ENSMUSG00000032301	K02728	GO:0016787|GO:0008233|GO:0004175|GO:0004298
mm	mm16888				
sc	sc4278	PRE9	YGR135W	K02728	GO:0016787|GO:0008233|GO:0004175|GO:0004298
hs	hs15250	PSMA4	ENSG00000041357	K02728	GO:0008233|GO:0042802|GO:0005515|GO:0004298

#Cluster id: 296
#Entropy: 1.0
#Isologs:
ce	ce18505	fkb-2	Y18D10A.19		GO:0016887|GO:0005524
ce	ce12461	fkb-8	Y18D10A.25		GO:0003755|GO:0008236
dm	dm13334	FK506-bp2	FBgn0013954	K09568	GO:0005528|GO:0003755
dm	dm7848	FK506-bp1	FBgn0013269	K01802	GO:0005528|GO:0003755
mm	mm22165	Fkbp1a	ENSMUSG00000032966	K09568	GO:0034713|GO:0005160|GO:0008144|GO:0005528|GO:0005515|GO:0003755|GO:0016853
sc	sc5867	FPR1	YNL135C	K01802	GO:0016853|GO:0003755|GO:0005527
