Species	Isobase_id	Name	Ensembl_gene	KEGG	GO

#Cluster id: 13
#Entropy: 0.0
#Isologs:
ce	ce7433	inf-1	F57B9.6		GO:0008026|GO:0005524|GO:0003676|GO:0004386
ce	ce7526	Q9BL61_CAEEL	Y65B4A.6		GO:0008026|GO:0005524|GO:0003676|GO:0004386
dm	dm7040	eIF4AIII	FBgn0037573	K03257	GO:0004004|GO:0005524|GO:0003743
mm	mm9689	Eif4a3	ENSMUSG00000025580	K03257	
mm	mm9686	AC133936.2	ENSMUSG00000060782		
mm	mm9688				
sc	sc3045			K03257	
hs	hs10209	EIF4A3	ENSG00000141543	K03257	GO:0016787|GO:0008143|GO:0004004|GO:0004386|GO:0003723|GO:0005515|GO:0000166|GO:0005524

#Cluster id: 52
#Entropy: 0.0
#Isologs:
ce	ce13816	14332_CAEEL	F52D10.3	K06630	GO:0019904
ce	ce13819	par-5	M117.2	K06630	GO:0019904
dm	dm9790	14-3-3epsilon	FBgn0020238	K06630	GO:0008426|GO:0019904
mm	mm15749	Ywhae	ENSMUSG00000020849		GO:0032403|GO:0004497|GO:0019899|GO:0005515|GO:0019904
sc	sc4156	BMH2	YDR099W	K06630	GO:0003688|GO:0019904
hs	hs15426	YWHAE	ENSG00000108953	K06630	GO:0051219|GO:0019899|GO:0050815|GO:0019904|GO:0005515|GO:0042826

#Cluster id: 93
#Entropy: 0.0
#Isologs:
ce	ce11086	Y24D9A.8	Y24D9A.8	K00616	GO:0003824|GO:0004801
ce	ce18813				
dm	dm8383	Tal	FBgn0023477	K00616	GO:0004801
mm	mm11999	Taldo1	ENSMUSG00000025503	K00616	GO:0003824|GO:0016740|GO:0004801|GO:0005529|GO:0048029
mm	mm12448				
sc	sc3572	TAL1	YLR354C	K00616	GO:0003824|GO:0016740|GO:0004801
sc	sc3588	NQM1	YGR043C	K00616	GO:0003824|GO:0016740|GO:0004801
hs	hs12471	TALDO1	ENSG00000177156	K00616	GO:0016740|GO:0004801|GO:0048029|GO:0005515

#Cluster id: 502
#Entropy: 0.0
#Isologs:
ce	ce913	xpo-1	ZK742.1		GO:0008565|GO:0005488
dm	dm1370	emb	FBgn0020497		GO:0008565|GO:0005049|GO:0005515
mm	mm1542	Xpo1	ENSMUSG00000020290		GO:0008565|GO:0003723|GO:0005515|GO:0005488
sc	sc392	CRM1	YGR218W		GO:0008565|GO:0005488
hs	hs1862	XPO1	ENSG00000082898		GO:0008565|GO:0003723|GO:0005515

#Cluster id: 614
