Species	Isobase_id	Name	Ensembl_gene	KEGG	GO

#Cluster id: 2
#Entropy: 1.0
#Isologs:
ce	ce18004	YQI7_CAEEL	C45G9.7		GO:0005515
dm	dm5801	CG10086	FBgn0037517		
mm	mm6564	Fyn	ENSMUSG00000019843	K05703	GO:0001948|GO:0042610|GO:0015631|GO:0016301|GO:0005515|GO:0042608|GO:0042609|GO:0000166|GO:0016740|GO:0004715|GO:0004713|GO:0051428|GO:0004672|GO:0032403|GO:0005102|GO:0046872|GO:0043548|GO:0005524
sc	sc383	JSN1	YJR091C		GO:0003723|GO:0000166|GO:0005488|GO:0003676|GO:0003729
sc	sc1916	FET4	YMR319C		GO:0005375|GO:0005381
hs	hs2865	CDH1	ENSG00000039068	K05689	GO:0045295|GO:0008013|GO:0016563|GO:0042153|GO:0019903|GO:0019904|GO:0005515|GO:0050839|GO:0005509

#Cluster id: 262
#Entropy: 0.0
#Isologs:
ce	ce3603	Q7JNV5_CAEEL	C55F2.1		GO:0003937|GO:0003824|GO:0004643
dm	dm4088	CG11089	FBgn0039241	K00602|K01492	GO:0003937|GO:0004643
mm	mm5577	Atic	ENSMUSG00000026192	K00602|K01492	GO:0003937|GO:0016787|GO:0016740|GO:0004643|GO:0003824
mm	mm7337				
sc	sc1666	ADE17	YMR120C	K00602|K01492	GO:0003937|GO:0003824|GO:0016740|GO:0004643|GO:0016787
sc	sc1670	ADE16	YLR028C	K00602|K01492	GO:0003937|GO:0003824|GO:0016740|GO:0004643|GO:0016787
hs	hs5988	ATIC	ENSG00000138363	K00602|K01492	GO:0016787|GO:0003937|GO:0004643|GO:0016740|GO:0005515|GO:0042803

#Cluster id: 277
#Entropy: 0.0
#Isologs:
ce	ce252	chc-1	T20G5.1	K04646	GO:0005488|GO:0005515|GO:0005198
dm	dm446	Chc	FBgn0000319	K04646	GO:0005515|GO:0005198
mm	mm423	Cltc	ENSMUSG00000047126	K04646	GO:0042277|GO:0031072|GO:0005198|GO:0005488|GO:0005515|GO:0030506
sc	sc90	CHC1	YGL206C	K04646	GO:0005488|GO:0005198
hs	hs589	CLTC	ENSG00000141367|NP_004850.1	K04646	GO:0005515|GO:0005198

#Cluster id: 304
#Entropy: 0.0
#Isologs:
ce	ce11889	Q19530_CAEEL	F19H6.1		GO:0004674|GO:0005524|GO:0004672
dm	dm4262	tkv	FBgn0003716		GO:0016566|GO:0050431|GO:0005025|GO:0005524|GO:0004672
mm	mm7264	Bmpr1b	ENSMUSG00000052430	K04673	GO:0046872|GO:0016301|GO:0005025|GO:0000166|GO:0004675|GO:0004674|GO:0016740|GO:0004872|GO:0004672|GO:0005024|GO:0005524
sc	sc3010	TPK1	YJL164C		GO:0016301|GO:0000166|GO:0004674|GO:0016740|GO:0004672|GO:0004691|GO:0005524
hs	hs7099	BMPR1A	ENSG00000107779	K04673	GO:0000166|GO:0005024|GO:0046332|GO:0004674|GO:0016740|GO:0004872|GO:0005515|GO:0046872|GO:0005524|GO:0042803

#Cluster id: 347
#Entropy: 0.0
#Isologs:
ce	ce4891	alh-1	F54D8.3	K00128	GO:0016491
mm	mm6909	Aldh2	ENSMUSG00000029455	K00128	GO:0004029|GO:0042802|GO:0016491
sc	sc1407	MSC7	YHR039C		GO:0016491
hs	hs7475	ALDH2	ENSG00000111275|NP_000681.2	K00128	GO:0016491|GO:0004030|GO:0004029|GO:0042802|GO:0009055

#Cluster id: 462
#Entropy: 2.0
#Isologs:
dm	dm636	BubR1	FBgn0025458	K08286	GO:0004674|GO:0005524|GO:0004672
dm	dm1277	Bub1	FBgn0031696	K02178	GO:0004674|GO:0005524|GO:0004672
mm	mm1629	Bub1b	ENSMUSG00000040084		GO:0016301|GO:0000166|GO:0004674|GO:0016740|GO:0004672|GO:0005524
sc	sc2146	MAD3	YJL013C	K06680	
hs	hs1941	BUB1B	ENSG00000156970	K06637	GO:0000166|GO:0004674|GO:0016740|GO:0005515|GO:0004672|GO:0005524

#Cluster id: 534
#Entropy: 1.58496
#Isologs:
ce	ce6354	mpk-1	F43C1.2	K04371	GO:0004674|GO:0004707|GO:0005524|GO:0004672
dm	dm2744	phl	FBgn0003079	K02644	GO:0005057|GO:0005515|GO:0005524|GO:0004674
sc	sc1128	STE11	YLR362W		GO:0032093|GO:0016301|GO:0000166|GO:0004674|GO:0016740|GO:0004672|GO:0004709|GO:0005524
hs	hs3825	BRAF	ENSG00000157764	K04365	GO:0046982|GO:0031434|GO:0005057|GO:0000166|GO:0004674|GO:0016740|GO:0005515|GO:0004672|GO:0046872|GO:0004709|GO:0005524

#Cluster id: 743
#Entropy: 0.0
#Isologs:
ce	ce1426	crs-1	Y23H5A.7	K01883	GO:0005524|GO:0004817|GO:0000166
ce	ce16219				
