Species	Isobase_id	Name	Ensembl_gene	KEGG	GO

#Cluster id: 6
#Entropy: 0.0
#Isologs:
ce	ce7408	T23O_CAEEL	C28H8.11		GO:0004833|GO:0005506|GO:0016491
ce	ce9426	gale-1	C47B2.6	K01784	GO:0016857|GO:0050662|GO:0003824|GO:0005488|GO:0003854|GO:0003978
dm	dm7996	CG12030	FBgn0035147	K01784	GO:0050662|GO:0003978
dm	dm10904	CG6685	FBgn0036062		
mm	mm11653	Gale	ENSMUSG00000028671	K01784	GO:0016857|GO:0016853|GO:0050662|GO:0003824|GO:0005488|GO:0003978
sc	sc1197	GAL10	YBR019C	K01784|K01785	GO:0050662|GO:0016614|GO:0016853|GO:0016616|GO:0004034|GO:0030246|GO:0003824|GO:0005488|GO:0003978|GO:0016491
sc	sc6115				
sc	sc1628	SPT8	YLR055C		GO:0017025|GO:0003702|GO:0003712
sc	sc1686	RTG2	YGL252C		GO:0030528
hs	hs12067	GALE	ENSG00000117308	K01784	GO:0050662|GO:0003978|GO:0005488|GO:0042803|GO:0016853

#Cluster id: 179
#Entropy: 0.0
#Isologs:
ce	ce15642	prdx-2	F09E5.15		GO:0016209|GO:0008379|GO:0016491
ce	ce14533	prdx-3	R07E5.2	K03386	GO:0016209|GO:0016491
dm	dm11337	Jafrac1	FBgn0040309	K03386	GO:0016209|GO:0008379|GO:0004602|GO:0004601
dm	dm10272	Jafrac2	FBgn0040308	K03386	GO:0016209|GO:0008379|GO:0004601
dm	dm11306	CG6888	FBgn0036490		GO:0008379
mm	mm17944	Prdx1	ENSMUSG00000028691	K03386	GO:0020037|GO:0016209|GO:0051920|GO:0005515|GO:0042803|GO:0004601|GO:0016491
sc	sc4886	TSA1	YML028W	K03386	GO:0016209|GO:0051082|GO:0051920|GO:0008379|GO:0043022|GO:0004601|GO:0016491
sc	sc4891	TSA2	YDR453C	K03386	GO:0016209|GO:0016491|GO:0008379|GO:0004601|GO:0051920
hs	hs17383	PRDX1	ENSG00000117450|NP_002565.1	K03386	GO:0004601|GO:0008379|GO:0005515|GO:0016491

#Cluster id: 202
#Entropy: 0.650022
#Isologs:
ce	ce7646	rad-51	Y43C5A.6	K04482	GO:0008094|GO:0017111|GO:0003697|GO:0000166|GO:0003684|GO:0005524
dm	dm8280	spn-A	FBgn0003479	K04482	GO:0008094|GO:0000150|GO:0003684|GO:0005524|GO:0005515
mm	mm11912	Rad51	ENSMUSG00000027323	K04482	GO:0008094|GO:0017111|GO:0000166|GO:0005515|GO:0003677|GO:0003684|GO:0005524
sc	sc3001	RAD51	YER095W	K04482	GO:0008094|GO:0003684|GO:0000150|GO:0017111|GO:0000166|GO:0003677|GO:0046983|GO:0046982|GO:0003697|GO:0005524
sc	sc2537	RAD57	YDR004W	K10958	GO:0008094|GO:0017111|GO:0000166|GO:0003677|GO:0046982|GO:0005524
hs	hs12357	RAD51	ENSG00000051180	K04482	GO:0008022|GO:0017111|GO:0003684|GO:0043142|GO:0042802|GO:0005515|GO:0003690|GO:0000166|GO:0003697|GO:0005524

#Cluster id: 301
#Entropy: 0.0
#Isologs:
ce	ce11018	Q18224_CAEEL	C26E6.3		
dm	dm8922	CG14213	FBgn0031047		GO:0005488
dm	dm9205	CG9573	FBgn0032089		
dm	dm9052	CG2053	FBgn0039887		
mm	mm14222	Rqcd1	ENSMUSG00000026174		GO:0005488|GO:0005515
sc	sc3234	CAF40	YNL288W		GO:0005488
hs	hs14028	RQCD1	ENSG00000144580		GO:0005515

#Cluster id: 500
#Entropy: 0.0
#Isologs:
mm	mm17787	AC108421.1	ENSMUSG00000062083		
sc	sc4852	RPL16A	YIL133C	K02872	GO:0003735|GO:0003723
hs	hs17241		ENSG00000173321		

#Cluster id: 519
#Entropy: 0.918296
#Isologs:
ce	ce7026	LIN53_CAEEL	K07A1.12	K10752	GO:0005515
dm	dm6456	Caf1	FBgn0015610	K10752	GO:0042393|GO:0035035|GO:0042054|GO:0046974|GO:0046976|GO:0003682|GO:0042826
mm	mm8390	Rbbp4	ENSMUSG00000057236		GO:0005515
mm	mm12112				
sc	sc2995	HAT2	YEL056W	K00653	GO:0008415|GO:0016740|GO:0042393|GO:0004402
hs	hs9813	RBBP4	ENSG00000162521|NP_005601.1		GO:0008094|GO:0042393|GO:0042826|GO:0005515

#Cluster id: 530
#Entropy: 0.0
#Isologs:
mm	mm11896	Dmc1	ENSMUSG00000022429	K10872	GO:0008094|GO:0017111|GO:0000166|GO:0005515|GO:0003677|GO:0005524
sc	sc3577	DMC1	YER179W	K10872	GO:0008094|GO:0042623|GO:0017111|GO:0000166|GO:0016887|GO:0003677|GO:0003690|GO:0003697|GO:0005524
hs	hs12329	DMC1	ENSG00000100206	K10872	GO:0008094|GO:0017111|GO:0000166|GO:0005515|GO:0003677|GO:0005524

#Cluster id: 557
#Entropy: 0.0
#Isologs:
ce	ce14248	HMG12_CAEEL	F47D12.4		GO:0003677
dm	dm7180	Dsp1	FBgn0011764	K10802	GO:0016564|GO:0008301|GO:0008134|GO:0003677
dm	dm7339				
mm	mm17485	Hmgb2	ENSMUSG00000054717		GO:0031493|GO:0003677|GO:0019904|GO:0008289
mm	mm17394				
mm	mm17274				
sc	sc6253	NHP6A	YPR052C		GO:0031491|GO:0043565|GO:0008301|GO:0003677
hs	hs16954	HMGB2	ENSG00000164104		GO:0042056|GO:0003700|GO:0003697|GO:0010843|GO:0050786|GO:0016565|GO:0008301|GO:0016563|GO:0005515|GO:0003677|GO:0003690|GO:0003684|GO:0019904

#Cluster id: 608
#Entropy: 0.0
#Isologs:
ce	ce4556	unc-61	Y50E8A.4		GO:0005515|GO:0005525
dm	dm6648	Sep2	FBgn0014029		GO:0003924|GO:0005515|GO:0005525
dm	dm6601	Sep5	FBgn0026361		GO:0003924|GO:0005515|GO:0005525
mm	mm9025	Sept6	ENSMUSG00000050379		GO:0000166|GO:0005515|GO:0005525
sc	sc3669	CDC10	YCR002C		GO:0005525|GO:0003924|GO:0005545|GO:0005200|GO:0000166
hs	hs9592	SEPT6	ENSG00000125354		GO:0000166|GO:0005515|GO:0005525

#Cluster id: 772
#Entropy: 0.0
#Isologs:
ce	ce8471	SERC_CAEEL	F26H9.5	K00831	GO:0003824|GO:0030170
dm	dm7720	CG11899	FBgn0014427	K00831	GO:0004648|GO:0003824|GO:0030170
mm	mm10855	Psat1	ENSMUSG00000024640	K00831	GO:0004648|GO:0008483|GO:0016740|GO:0030170|GO:0003824
sc	sc3046	SER1	YOR184W	K00831	GO:0004648|GO:0003824|GO:0016740|GO:0030170|GO:0008483
hs	hs11369	PSAT1	ENSG00000135069	K00831	GO:0004648|GO:0016740|GO:0030170

#Cluster id: 945
#Entropy: 1.0
#Isologs:
ce	ce2900	Q18598_CAEEL	C44B7.9		GO:0017111|GO:0016887|GO:0005524|GO:0000166
ce	ce2858	pmp-1	C44B7.8		GO:0017111|GO:0016887|GO:0005524|GO:0000166
dm	dm3340	CG12703	FBgn0031069	K01509	GO:0005215|GO:0042626|GO:0005524
mm	mm4649	Abcd3	ENSMUSG00000028127		GO:0042626|GO:0016887|GO:0017111|GO:0000166|GO:0005524|GO:0005515|GO:0043621
sc	sc723	PXA1	YPL147W		GO:0005524|GO:0042626|GO:0017111|GO:0016887|GO:0000166
sc	sc762	PXA2	YKL188C		GO:0005524|GO:0042626|GO:0017111|GO:0016887|GO:0000166
hs	hs5034	ABCD3	ENSG00000117528	K05677	GO:0005524|GO:0042626|GO:0016887|GO:0005515|GO:0000166

#Cluster id: 994
#Entropy: 0.0
#Isologs:
ce	ce14900	Q94241_CAEEL	F55A4.1	K08517	
dm	dm10957	CG7359	FBgn0025617	K08517	
mm	mm17322	Sec22b	ENSMUSG00000027879	K08517	
sc	sc4692	SEC22	YLR268W	K08517	GO:0005484
hs	hs18233		ENSG00000155878		

#Cluster id: 1021
#Entropy: 0.0
#Isologs:
ce	ce15019	gfl-1	M04B2.3		GO:0003682
ce	ce13237	Q9NF15_CAEEL	Y105E8B.7		
dm	dm10574	Gas41	FBgn0031873		GO:0016251
dm	dm10424	CG2652	FBgn0025838		
mm	mm16802	Yeats4	ENSMUSG00000020171		GO:0005515
sc	sc4560	YAF9	YNL107W		GO:0008080|GO:0008415|GO:0004402|GO:0016407|GO:0016746|GO:0016747|GO:0016410|GO:0004468
sc	sc4396	TAF14	YPL129W	K03140	GO:0016251|GO:0004402
hs	hs16381	YEATS4	ENSG00000127337		GO:0003700|GO:0008022|GO:0005200|GO:0005515|GO:0003677

#Cluster id: 1053
#Entropy: 0.0
#Isologs:
ce	ce17433	pfd-2	H20J04.5	K09549	GO:0051082
dm	dm12536	l(3)01239	FBgn0010741	K09549	GO:0051087|GO:0051082
mm	mm19792	Pfdn2	ENSMUSG00000006412	K09549	GO:0051082
sc	sc5708	GIM4	YEL003W	K09549	GO:0015631|GO:0051082
hs	hs18983	PFDN2	ENSG00000143256	K09549	GO:0005515|GO:0051082

#Cluster id: 1062
#Entropy: 0.0
#Isologs:
ce	ce1646	msh-2	H26D21.2	K08735	GO:0003677|GO:0005524|GO:0030983
dm	dm1895	spel1	FBgn0015546	K08735	GO:0005524|GO:0030983
dm	dm1704				
mm	mm2172	Msh2	ENSMUSG00000024151	K08735	GO:0030983|GO:0016887|GO:0003677|GO:0032137|GO:0000166|GO:0019237|GO:0003684|GO:0005524
sc	sc544	MSH2	YOL090W	K08735	GO:0000403|GO:0000400|GO:0000406|GO:0000404|GO:0032138|GO:0030983|GO:0016887|GO:0003677|GO:0032137|GO:0032135|GO:0000166|GO:0005524
