Species	Isobase_id	Name	Ensembl_gene	KEGG	GO

#Cluster id: 6
#Entropy: 0.0
#Isologs:
ce	ce7408	T23O_CAEEL	C28H8.11		GO:0004833|GO:0005506|GO:0016491
ce	ce9426	gale-1	C47B2.6	K01784	GO:0016857|GO:0050662|GO:0003824|GO:0005488|GO:0003854|GO:0003978
dm	dm7996	CG12030	FBgn0035147	K01784	GO:0050662|GO:0003978
dm	dm10904	CG6685	FBgn0036062		
mm	mm11653	Gale	ENSMUSG00000028671	K01784	GO:0016857|GO:0016853|GO:0050662|GO:0003824|GO:0005488|GO:0003978
sc	sc1197	GAL10	YBR019C	K01784|K01785	GO:0050662|GO:0016614|GO:0016853|GO:0016616|GO:0004034|GO:0030246|GO:0003824|GO:0005488|GO:0003978|GO:0016491
sc	sc6115				
sc	sc1628	SPT8	YLR055C		GO:0017025|GO:0003702|GO:0003712
sc	sc1686	RTG2	YGL252C		GO:0030528
hs	hs12067	GALE	ENSG00000117308	K01784	GO:0050662|GO:0003978|GO:0005488|GO:0042803|GO:0016853

#Cluster id: 117
#Entropy: 0.0
#Isologs:
ce	ce18000	M117.3	M117.3		GO:0019904
mm	mm16140	Ywhaz	ENSMUSG00000022285	K06630	GO:0032403|GO:0019904|GO:0005515
sc	sc4212	BMH1	YER177W	K06630	GO:0003688|GO:0019904|GO:0005515
hs	hs15756	YWHAZ	ENSG00000164924|NP_003397.1	K06630	GO:0032403|GO:0008134|GO:0019904|GO:0005515

#Cluster id: 142
#Entropy: 0.0
#Isologs:
ce	ce7395	METK3_CAEEL	C06E7.1	K00789	GO:0004478|GO:0005524
ce	ce7386	METK4_CAEEL	C06E7.3	K00789	GO:0004478|GO:0005524
ce	ce7393	METK5_CAEEL	T13A10.11	K00789	GO:0004478|GO:0005524
ce	ce7421	sams-1	C49F5.1	K00789	GO:0004478|GO:0005524
ce	ce8761				
dm	dm6867	M(2)21AB	FBgn0005278	K00789	GO:0004478|GO:0005524
mm	mm10129	Mat2a	ENSMUSG00000053907	K00789	GO:0000166|GO:0016740|GO:0046872|GO:0005524|GO:0004478
sc	sc3158	SAM1	YLR180W	K00789	GO:0046872|GO:0016740|GO:0004478|GO:0005524|GO:0000166
sc	sc3137	SAM2	YDR502C	K00789	GO:0000166|GO:0016740|GO:0046872|GO:0005524|GO:0004478
hs	hs10656	MAT2A	ENSG00000168906		GO:0046872|GO:0016740|GO:0004478|GO:0005524|GO:0000166

#Cluster id: 153
#Entropy: 1.58496
#Isologs:
ce	ce1691	TG325_CAEEL	C38D4.5		GO:0005515
dm	dm4358	CycG	FBgn0039858		GO:0016538
dm	dm1281				
dm	dm1160	CG2052	FBgn0039905		GO:0008270|GO:0003676
mm	mm17644	Snap25	ENSMUSG00000027273	K08508	GO:0005515|GO:0047485|GO:0000149|GO:0017022|GO:0005249|GO:0017075
sc	sc1484	YKU80	YMR106C	K10885	GO:0016787|GO:0004003|GO:0042162|GO:0004386|GO:0005488|GO:0003677|GO:0000166|GO:0003684|GO:0005524|GO:0003723
sc	sc2307	CLB2	YPR119W	K02220	GO:0016538
hs	hs1620	VCL	ENSG00000035403|P18206		GO:0008013|GO:0045294|GO:0045296|GO:0005198|GO:0003779|GO:0002166|GO:0017048|GO:0005515

#Cluster id: 154
#Entropy: 0.0
#Isologs:
ce	ce5924	hda-1	C53A5.3	K06067	GO:0004407|GO:0003714
ce	ce4953	hda-2	C08B11.2		GO:0004407|GO:0003714
dm	dm4975	Rpd3	FBgn0015805	K06067	GO:0004407|GO:0003714|GO:0005515
mm	mm7796	AC163648.2	ENSMUSG00000061062		
mm	mm7761	Hdac1	ENSMUSG00000028800	K06067	GO:0016787|GO:0003700|GO:0004407|GO:0008134|GO:0003714|GO:0016564|GO:0005515|GO:0003677|GO:0032403|GO:0003682
sc	sc2765	RPD3	YNL330C	K06067	GO:0043565|GO:0016787|GO:0003714|GO:0003713|GO:0004407
sc	sc2609	HOS2	YGL194C		GO:0004407|GO:0045129|GO:0017136|GO:0016787
sc	sc2464	HOS1	YPR068C		GO:0016787|GO:0004407
hs	hs8312	HDAC1	ENSG00000116478|NP_004955.2	K06067	GO:0016787|GO:0003700|GO:0004407|GO:0008134|GO:0019899|GO:0016566|GO:0016563|GO:0005515|GO:0033558|GO:0042826|GO:0042802

#Cluster id: 171
#Entropy: 0.0
#Isologs:
ce	ce16517	ubc-14	Y87G2A.9	K04555	GO:0019787
dm	dm11948	crl	FBgn0015374	K04555	GO:0004842
mm	mm19318	Ube2g2	ENSMUSG00000009293	K04555	GO:0019787|GO:0016874|GO:0004842|GO:0005524|GO:0000166
sc	sc5171	UBC7	YMR022W	K04555	GO:0019787|GO:0016874|GO:0004842|GO:0005524|GO:0000166
hs	hs18577	UBE2G2	ENSG00000184787	K04555	GO:0016874|GO:0004842|GO:0005524|GO:0005515|GO:0000166

#Cluster id: 191
#Entropy: 1.37878
#Isologs:
ce	ce16468	cyn-7	Y75B12B.2	K01802	GO:0003755
dm	dm11992				
dm	dm10583	Cyp1	FBgn0004432	K09565	GO:0016538|GO:0003755
mm	mm19337	AC120869.1	ENSMUSG00000062933	K03767	
mm	mm18336				
mm	mm18475				
sc	sc5190	CPR1	YDR155C	K01802	GO:0016018|GO:0042277|GO:0016853|GO:0003755
sc	sc3716	CPR4	YCR069W	K01802	GO:0016853|GO:0003755
sc	sc3830	CPR8	YNR028W	K01802	GO:0016853|GO:0003755
hs	hs18571	PPIA	ENSG00000196262|ENSG00000198618|NP_066953.1	K03767	GO:0042277|GO:0005515|GO:0051082|GO:0046790|GO:0003755|GO:0016853

#Cluster id: 202
#Entropy: 0.650022
#Isologs:
ce	ce7646	rad-51	Y43C5A.6	K04482	GO:0008094|GO:0017111|GO:0003697|GO:0000166|GO:0003684|GO:0005524
dm	dm8280	spn-A	FBgn0003479	K04482	GO:0008094|GO:0000150|GO:0003684|GO:0005524|GO:0005515
mm	mm11912	Rad51	ENSMUSG00000027323	K04482	GO:0008094|GO:0017111|GO:0000166|GO:0005515|GO:0003677|GO:0003684|GO:0005524
sc	sc3001	RAD51	YER095W	K04482	GO:0008094|GO:0003684|GO:0000150|GO:0017111|GO:0000166|GO:0003677|GO:0046983|GO:0046982|GO:0003697|GO:0005524
sc	sc2537	RAD57	YDR004W	K10958	GO:0008094|GO:0017111|GO:0000166|GO:0003677|GO:0046982|GO:0005524
hs	hs12357	RAD51	ENSG00000051180	K04482	GO:0008022|GO:0017111|GO:0003684|GO:0043142|GO:0042802|GO:0005515|GO:0003690|GO:0000166|GO:0003697|GO:0005524

#Cluster id: 211
#Entropy: 0.0
#Isologs:
ce	ce13126	pal-1	C38D4.6	K09312	GO:0043565|GO:0003700|GO:0003702|GO:0003705|GO:0030528|GO:0003677
dm	dm4920	wdb	FBgn0027492		GO:0008601|GO:0004722
dm	dm8564	CG32568	FBgn0052568		GO:0008601
mm	mm8992				
sc	sc1016	RTS1	YOR014W		GO:0008601|GO:0004722
hs	hs7289	PPP2R5C	ENSG00000078304		GO:0008601|GO:0005515

#Cluster id: 231
#Entropy: 0.0
#Isologs:
ce	ce8272				
dm	dm7511	rl	FBgn0003256	K04371	GO:0004705|GO:0004674|GO:0004707|GO:0005524|GO:0005515
mm	mm11243	Mapk1	ENSMUSG00000063358	K04371	GO:0031435|GO:0008134|GO:0016301|GO:0016740|GO:0030528|GO:0000166|GO:0004674|GO:0004707|GO:0005524|GO:0005515|GO:0004672|GO:0016908|GO:0008353|GO:0001784
mm	mm13781				
sc	sc3398	FUS3	YBL016W	K04371	GO:0016301|GO:0016740|GO:0000166|GO:0004674|GO:0004707|GO:0004672|GO:0005524
hs	hs11634	MAPK1	ENSG00000100030	K04371	GO:0031435|GO:0008134|GO:0016301|GO:0016740|GO:0000166|GO:0004674|GO:0004707|GO:0005524|GO:0005515|GO:0003677|GO:0016908|GO:0001784

#Cluster id: 281
#Entropy: 0.0
#Isologs:
ce	ce8070	Q9N3T2_CAEEL	Y47G6A.8	K04799	GO:0004518|GO:0003824|GO:0048256|GO:0005515|GO:0003677
dm	dm7355	Fen1	FBgn0025832	K04799	GO:0004519|GO:0048256|GO:0003677
mm	mm10533	Fen1	ENSMUSG00000024742		GO:0016787|GO:0004518|GO:0004519|GO:0004527|GO:0000287|GO:0030145|GO:0003824|GO:0048256|GO:0003677|GO:0046872
sc	sc3154	RAD27	YKL113C	K04799	GO:0016787|GO:0008409|GO:0000014|GO:0004518|GO:0004519|GO:0017108|GO:0003824|GO:0003677|GO:0046872
hs	hs11038	FEN1	ENSG00000168496|NP_004102.1	K04799	GO:0016787|GO:0000287|GO:0004519|GO:0004527|GO:0017108|GO:0030145|GO:0004523|GO:0008409|GO:0005515|GO:0003677|GO:0003690|GO:0008309|GO:0003684

#Cluster id: 313
#Entropy: 0.0
#Isologs:
ce	ce19143	ELOF1_CAEEL	Y54G11A.11		
dm	dm13790	CG40228	FBgn0063670		
dm	dm13793	CG6244	FBgn0036531		
mm	mm23076	Elof1	ENSMUSG00000013822		GO:0003746|GO:0046872
mm	mm23104				
sc	sc5382	ELF1	YKL160W		GO:0016944|GO:0046872
hs	hs21544	ELOF1	ENSG00000130165|NP_115753.1		GO:0046872

#Cluster id: 424
#Entropy: 0.918296
#Isologs:
ce	ce1078	isw-1	F37A4.8		GO:0016787|GO:0016818|GO:0008026|GO:0004386|GO:0031491|GO:0003676|GO:0003677|GO:0005524
ce	ce486	Q22944_CAEEL	C52B9.8		GO:0004386|GO:0003676|GO:0005524|GO:0003677
dm	dm1475	Iswi	FBgn0011604	K01509	GO:0008094|GO:0005515|GO:0000166|GO:0031491|GO:0016887|GO:0003677|GO:0003678|GO:0016251|GO:0004386|GO:0005524
