Species	Isobase_id	Name	Ensembl_gene	KEGG	GO

#Cluster id: 10
#Entropy: 0.0
#Isologs:
dm	dm8789	CG11968	FBgn0037647		GO:0003924|GO:0005525
mm	mm10703	Rragb	ENSMUSG00000041658		GO:0005525|GO:0000166
sc	sc3797	GTR1	YML121W		GO:0019003|GO:0000166|GO:0005525
hs	hs13419	RRAGA	ENSG00000155876		GO:0051219|GO:0005525|GO:0000166|GO:0005515|GO:0046982|GO:0042803

#Cluster id: 77
#Entropy: 0.0
#Isologs:
ce	ce1959	rnr-1	T23G5.1	K10807	GO:0004748|GO:0005524
dm	dm2369	RnrL	FBgn0011703	K10807	GO:0004748|GO:0005515|GO:0005524
mm	mm3202	Rrm1	ENSMUSG00000030978		GO:0000166|GO:0004748|GO:0005515|GO:0017076|GO:0005524|GO:0016491
sc	sc682	RNR1	YER070W	K10807	GO:0004748|GO:0000166|GO:0005524|GO:0016491
sc	sc686				
sc	sc727	RNR3	YIL066C	K10807	GO:0004748|GO:0000166|GO:0005524|GO:0016491
hs	hs3557	RRM1	AAD37491.1|ENSG00000167325	K10807	GO:0004748|GO:0016491|GO:0005524|GO:0005515|GO:0017076

#Cluster id: 471
#Entropy: 0.985228
#Isologs:
ce	ce16185	sod-1	C15F1.7		GO:0004784|GO:0005507|GO:0046872
ce	ce16243	sod-5	ZK430.3	K00518	GO:0046872
dm	dm12274	Sod	FBgn0003462	K04565	GO:0004784|GO:0016209|GO:0046872
dm	dm11663	CG9027	FBgn0033631	K00518	GO:0004784|GO:0046872
dm	dm9614	CG5948	FBgn0039386	K00518	GO:0046872
mm	mm19581	Sod1	ENSMUSG00000022982	K04565	GO:0005507|GO:0016209|GO:0051087|GO:0005515|GO:0004784|GO:0046872|GO:0016491
mm	mm19553				
sc	sc5277	SOD1	YJR104C	K04565	GO:0004784|GO:0016209|GO:0046872|GO:0016491
hs	hs18940	SOD1	ENSG00000142168	K04565	GO:0016491|GO:0046872|GO:0051087|GO:0030346|GO:0008270|GO:0005515|GO:0004784|GO:0005507|GO:0042803

#Cluster id: 717
#Entropy: 0.0
#Isologs:
ce	ce9482	rpn-10	B0205.3	K03029	
dm	dm7110	Pros54	FBgn0015283	K03029	GO:0004175|GO:0008270
mm	mm10583	Psmd4	ENSMUSG00000005625	K03029	GO:0008270
sc	sc4201	RPN10	YHR200W	K03029	GO:0031593|GO:0005198
hs	hs11140	PSMD4	ENSG00000159352		GO:0005515

#Cluster id: 1036
#Entropy: 0.0
#Isologs:
dm	dm2293	mof	FBgn0014340	K00653	GO:0004402|GO:0046972|GO:0005515|GO:0003682|GO:0004468|GO:0003729
mm	mm8449	Myst1	ENSMUSG00000030801	K00653	GO:0003682|GO:0004402|GO:0008415|GO:0016740|GO:0019899|GO:0016407|GO:0016747|GO:0046872
sc	sc3544	SAS2	YMR127C		GO:0008415|GO:0004402|GO:0016740|GO:0016407|GO:0016747|GO:0046872
hs	hs8977	MYST1	ENSG00000103510	K00653	GO:0046872|GO:0008134|GO:0004402|GO:0016407|GO:0016740|GO:0005515|GO:0003682

#Cluster id: 1127
#Entropy: 0.0
#Isologs:
ce	ce18405	Q95XR1_CAEEL	Y39G10AR.20		GO:0051082
dm	dm13302	CG1890	FBgn0039869		GO:0051082
mm	mm22176	Tbca	ENSMUSG00000042043		GO:0051082
sc	sc6049	RBL2	YOR265W		GO:0048487|GO:0015631|GO:0051082
hs	hs20829	TBCA	ENSG00000171530		GO:0051087|GO:0051082

#Cluster id: 1236
#Entropy: 0.0
#Isologs:
ce	ce8162	Q93878_CAEEL	K09E9.2		
dm	dm7569	CG7011	FBgn0036489		
mm	mm10146	Ergic3	ENSMUSG00000005881		
sc	sc2894	ERV46	YAL042W		
hs	hs10773	ERGIC3	ENSG00000125991		GO:0005515

#Cluster id: 1275
#Entropy: 0.0
#Isologs:
mm	mm15258	Sfrs5	ENSMUSG00000021134		GO:0050733|GO:0003723|GO:0003676|GO:0000166
sc	sc2794	HRB1	YNL004W		GO:0003723|GO:0003676|GO:0000166
hs	hs14855	SFRS5	ENSG00000100650|Q13243		GO:0050733|GO:0003723|GO:0005515|GO:0000166

#Cluster id: 1375
#Entropy: 0.0
#Isologs:
ce	ce3037	klp-20	Y50D7A.6		GO:0005524|GO:0003777
dm	dm3220	Klp64D	FBgn0004380	K10394	GO:0003777|GO:0005524
mm	mm4142	Kif3a	ENSMUSG00000018395		GO:0000166|GO:0003774|GO:0003777|GO:0005524
sc	sc884	KIP3	YGL216W		GO:0008574|GO:0000166|GO:0070463|GO:0003777|GO:0003774|GO:0005524
hs	hs4571	KIF3A	ENSG00000131437	K10394	GO:0005524|GO:0005515|GO:0003777|GO:0000166

#Cluster id: 1379
#Entropy: 0.0
#Isologs:
ce	ce11238	ebp-1	Y59A8B.7	K10436	GO:0008017
ce	ce12035	ebp-2	VW02B12L.3		GO:0008017
ce	ce15899	ebp-3	Y59A8B.9		GO:0008017
dm	dm5319	CG6985	FBgn0039017		
mm	mm14849	Mapre3	ENSMUSG00000029166	K10436	GO:0008017|GO:0005515
sc	sc3479	BIM1	YER016W		GO:0008017|GO:0005200|GO:0008092
sc	sc4919	TIM18	YOR297C		GO:0005506|GO:0015266|GO:0020037
sc	sc3177	COS12	YGL263W		
hs	hs14587	MAPRE3	ENSG00000084764|NP_036458.2		GO:0008017|GO:0005083|GO:0005515

#Cluster id: 1391
#Entropy: 0.0
#Isologs:
ce	ce11241	D2096.8	D2096.8		
dm	dm7615	Nap1	FBgn0015268		GO:0042393
dm	dm7539	CG3708	FBgn0040345		GO:0042393
mm	mm10359	Nap1l1	ENSMUSG00000058799		GO:0005515
mm	mm11795				
mm	mm9301	Nap1l4	ENSMUSG00000059119		
mm	mm19789				
sc	sc2876	NAP1	YKR048C		GO:0042393|GO:0030332|GO:0003677
hs	hs10751	NAP1L1	ENSG00000187109|NP_004528.1		GO:0005515

#Cluster id: 1463
#Entropy: 0.0
#Isologs:
ce	ce18020	TCP4_CAEEL	T13F2.2		GO:0003713|GO:0005488|GO:0003677
dm	dm13305	Ssb-c31a	FBgn0015299		GO:0003713|GO:0003697
mm	mm21121	Sub1	ENSMUSG00000022205		GO:0003713|GO:0005488|GO:0003677
sc	sc3977	SUB1	YMR039C		GO:0003713|GO:0005488|GO:0003677
hs	hs20093	SUB1	ENSG00000113387		GO:0003713|GO:0003697|GO:0005515|GO:0003677

#Cluster id: 1792
#Entropy: 0.0
#Isologs:
dm	dm2207	CG5899	FBgn0032157	K01509	GO:0004003|GO:0005524|GO:0003677
mm	mm2952	Hells	ENSMUSG00000025001		GO:0016787|GO:0000166|GO:0004386|GO:0003676|GO:0003677|GO:0003682|GO:0005524
mm	mm3909				
sc	sc952				
sc	sc765	IRC5	YFR038W		GO:0016787|GO:0016887|GO:0008094|GO:0042623|GO:0000166|GO:0003676|GO:0003677|GO:0004386|GO:0005524
hs	hs3176	HELLS	ENSG00000119969		GO:0016787|GO:0000166|GO:0004386|GO:0003677|GO:0003682|GO:0005524

#Cluster id: 1993
#Entropy: 1.58496
#Isologs:
ce	ce7940	Q93571_CAEEL	F25H2.8	K10582	GO:0019787
dm	dm8891	CG4502	FBgn0031896	K01931	GO:0019787
mm	mm20772	Ube2ql1	ENSMUSG00000052981		GO:0019787|GO:0016874|GO:0004842|GO:0005524|GO:0000166
sc	sc5262	UBC11	YOR339C	K06688	GO:0019787|GO:0016874|GO:0004842|GO:0005524|GO:0000166
hs	hs18459		ENSG00000188576		

#Cluster id: 2059
#Entropy: 0.0
#Isologs:
ce	ce1670	him-14	ZK1127.11	K08740	GO:0005524|GO:0030983
mm	mm2054	Msh4	ENSMUSG00000005493	K08740	GO:0000166|GO:0030983|GO:0005524|GO:0003677
sc	sc707	MSH4	YFL003C		GO:0043566|GO:0003677|GO:0030983|GO:0005524|GO:0000166
hs	hs2513	MSH4	ENSG00000057468	K08740	GO:0003677|GO:0030983|GO:0005524|GO:0000166

#Cluster id: 2077
#Entropy: 0.0
#Isologs:
ce	ce692	msh-6	Y47G6A.11	K08737	GO:0003677|GO:0005524|GO:0030983
dm	dm1089	Msh6	FBgn0036486	K08737	GO:0005524|GO:0030983
mm	mm784	Msh6	ENSMUSG00000005370		GO:0000166|GO:0030983|GO:0003677|GO:0032137|GO:0003682|GO:0003684|GO:0005524
sc	sc247	MSH6	YDR097C	K08737	GO:0000403|GO:0000400|GO:0000404|GO:0003677|GO:0000166|GO:0016887|GO:0032138|GO:0032137|GO:0030983|GO:0005524
