Species	Isobase_id	Name	Ensembl_gene	KEGG	GO

#Cluster id: 88
#Entropy: 0.0
#Isologs:
ce	ce8749	Q20935_CAEEL	F57B9.3	K03257	GO:0008026|GO:0005524|GO:0003676|GO:0004386
dm	dm6974	eIF-4a	FBgn0001942	K03257	GO:0008026|GO:0000339|GO:0017116|GO:0003724|GO:0003729|GO:0005524|GO:0003743
mm	mm9773	Eif4a2	ENSMUSG00000022884		GO:0016787|GO:0008026|GO:0004386|GO:0003723|GO:0003676|GO:0000166|GO:0005524|GO:0003743
hs	hs10299	EIF4A2	CAA40268.1|ENSG00000156976		GO:0016787|GO:0008026|GO:0000166|GO:0003723|GO:0005515|GO:0004386|GO:0005524|GO:0003743

#Cluster id: 170
#Entropy: 0.0
#Isologs:
ce	ce5070	fum-1	H14A12.2	K01679	GO:0003824|GO:0016829|GO:0004333
dm	dm5398	l(1)G0255	FBgn0028336	K01679	GO:0004333
dm	dm4946	CG4095	FBgn0029890	K01679	GO:0004333
dm	dm5795	CG6140	FBgn0036162	K01679	GO:0004333
dm	dm5598	CG31874	FBgn0051874	K01679	GO:0004333
mm	mm7137	Fh1	ENSMUSG00000026526	K01679	GO:0003824|GO:0016829|GO:0004333
mm	mm8686				
sc	sc2343	FUM1	YPL262W	K01679	GO:0003824|GO:0016829|GO:0004333
hs	hs7613	FH	ENSG00000091483		GO:0016829|GO:0004333

#Cluster id: 230
#Entropy: 1.0
#Isologs:
ce	ce6673	cgh-1	C07H6.5		GO:0003676|GO:0008026|GO:0004386|GO:0003724|GO:0005515|GO:0005524
dm	dm5957	me31B	FBgn0004419	K01509	GO:0004004|GO:0005524|GO:0003723
mm	mm7768	Ddx6	ENSMUSG00000032097		GO:0016787|GO:0008026|GO:0004386|GO:0003723|GO:0003676|GO:0000166|GO:0005524
mm	mm8671				
sc	sc2205	DHH1	YDL160C	K01529	GO:0016787|GO:0016887|GO:0008026|GO:0042623|GO:0004004|GO:0004386|GO:0070035|GO:0003724|GO:0003723|GO:0005515|GO:0003676|GO:0008186|GO:0000166|GO:0005524
hs	hs8291	DDX6	ENSG00000110367		GO:0016787|GO:0008026|GO:0004386|GO:0003724|GO:0003723|GO:0005515|GO:0000166|GO:0005524

#Cluster id: 290
#Entropy: 0.0
#Isologs:
ce	ce1881	Q86ND9_CAEEL	T18H9.7		
mm	mm23253	Gng4	ENSMUSG00000021303	K04541	GO:0003924|GO:0004871
hs	hs5073	EWSR1	ENSG00000182944		GO:0000166|GO:0005516|GO:0005515|GO:0003723|GO:0046872|GO:0008270

#Cluster id: 337
#Entropy: 0.0
#Isologs:
ce	ce3485	Y50D7A.2	Y50D7A.2	K10844	GO:0016818|GO:0008026|GO:0004003|GO:0003676|GO:0003677|GO:0005524
ce	ce15560	Q7YZG6_CAEEL	Y50D7A.11		GO:0004003|GO:0016818|GO:0005524|GO:0003677
dm	dm2576	Xpd	FBgn0015844	K10844	
dm	dm2699				
mm	mm3498	Ercc2	ENSMUSG00000030400		GO:0016787|GO:0016818|GO:0008026|GO:0000166|GO:0004003|GO:0051536|GO:0004386|GO:0003676|GO:0003677|GO:0046872|GO:0005524
sc	sc950	RAD3	YER171W	K10844	GO:0016787|GO:0016818|GO:0046872|GO:0008026|GO:0004003|GO:0051536|GO:0043141|GO:0004386|GO:0003676|GO:0003677|GO:0016251|GO:0000166|GO:0003684|GO:0005524
hs	hs3866	ERCC2	ENSG00000104884	K10844	GO:0016787|GO:0016818|GO:0046872|GO:0047485|GO:0008094|GO:0004003|GO:0051536|GO:0008022|GO:0000166|GO:0016563|GO:0005515|GO:0004672|GO:0008353|GO:0043139|GO:0004386|GO:0005524

#Cluster id: 396
#Entropy: 0.0
#Isologs:
ce	ce1955	Y66D12A.15	Y66D12A.15	K10843	GO:0016787|GO:0004003|GO:0004386|GO:0003676|GO:0003677|GO:0005524
dm	dm2433	hay	FBgn0001179	K10843	GO:0004003|GO:0004386|GO:0003677|GO:0005524|GO:0016251
mm	mm3279	Ercc3	ENSMUSG00000024382	K10843	GO:0016787|GO:0042277|GO:0003676|GO:0004003|GO:0000166|GO:0032564|GO:0016887|GO:0003677|GO:0008353|GO:0004386|GO:0005524|GO:0005525
sc	sc784	SSL2	YIL143C	K10843	GO:0016787|GO:0004003|GO:0004386|GO:0003676|GO:0003677|GO:0016251|GO:0000166|GO:0005524
hs	hs3659	ERCC3	ENSG00000163161	K10843	GO:0008094|GO:0008022|GO:0042277|GO:0016887|GO:0047485|GO:0016787|GO:0000166|GO:0008134|GO:0003677|GO:0004386|GO:0032564|GO:0004672|GO:0005515|GO:0004003|GO:0008353|GO:0043138|GO:0003684|GO:0005524|GO:0005525

#Cluster id: 476
#Entropy: 0.918296
#Isologs:
ce	ce4033	Q9XUW5_CAEEL	F58E10.3		GO:0008026|GO:0005524|GO:0003676|GO:0004386
dm	dm2333	CG10077	FBgn0035720	K01509	GO:0003724|GO:0008026|GO:0005524|GO:0003676
dm	dm2880	Rm62	FBgn0003261	K01509	GO:0004004|GO:0003729|GO:0005524|GO:0003676|GO:0005515
mm	mm4506	Ddx5	ENSMUSG00000020719		GO:0016787|GO:0016818|GO:0003676|GO:0008026|GO:0003712|GO:0000166|GO:0003724|GO:0003723|GO:0005515|GO:0004386|GO:0005524
sc	sc1957	DBP2	YNL112W	K01529	GO:0016787|GO:0016887|GO:0008026|GO:0042623|GO:0004004|GO:0004386|GO:0070035|GO:0003724|GO:0003723|GO:0003676|GO:0008186|GO:0000166|GO:0005524
hs	hs5660	DDX5	ENSG00000108654		GO:0016787|GO:0016818|GO:0008026|GO:0003712|GO:0000166|GO:0003724|GO:0003723|GO:0005515|GO:0005524

#Cluster id: 675
#Entropy: 0.0
#Isologs:
ce	ce1688	dyn-1	C02C6.1	K01528	GO:0003924|GO:0005525
mm	mm2562	Dnm1	ENSMUSG00000026825	K01528	GO:0016787|GO:0003924|GO:0000166|GO:0005515|GO:0032403|GO:0003774|GO:0042802|GO:0005525
sc	sc1181	VPS1	YKR001C		GO:0046983|GO:0000166|GO:0003924|GO:0003774|GO:0005525
hs	hs2950	DNM2	ENSG00000079805|P50570		GO:0016787|GO:0008017|GO:0003924|GO:0019899|GO:0000166|GO:0016563|GO:0005515|GO:0003774|GO:0005525

#Cluster id: 869
#Entropy: 0.918296
#Isologs:
ce	ce8334	gsa-1	R06A10.2	K04632	GO:0019001|GO:0004871|GO:0005525
dm	dm7334	G-salpha60A	FBgn0001123	K04632	GO:0003924|GO:0004871|GO:0005525
dm	dm7049	Galpha73B	FBgn0010223	K04640	GO:0019001|GO:0003924|GO:0004871
hs	hs2693	GNAS	ENSG00000087460		GO:0005515|GO:0003924|GO:0000166|GO:0019001|GO:0004871|GO:0042802|GO:0005525

#Cluster id: 1197
#Entropy: 1.0
#Isologs:
ce	ce2324	Y23H5B.6	Y23H5B.6		GO:0008026|GO:0005524|GO:0003676|GO:0004386
dm	dm2301	CG5800	FBgn0030855	K01509	GO:0003724|GO:0003676|GO:0008026|GO:0005524
mm	mm2466	Ddx10	ENSMUSG00000053289		GO:0016787|GO:0008026|GO:0004386|GO:0003723|GO:0003676|GO:0000166|GO:0005524
sc	sc965	HCA4	YJL033W	K01529	GO:0016787|GO:0008026|GO:0004004|GO:0004386|GO:0003723|GO:0003676|GO:0008186|GO:0000166|GO:0005524
hs	hs2907	DDX10	ENSG00000178105		GO:0016787|GO:0008026|GO:0000166|GO:0003724|GO:0003723|GO:0005524

#Cluster id: 1264
#Entropy: 0.650022
#Isologs:
ce	ce1926	M106.4	M106.4	K01951	GO:0003824|GO:0003922|GO:0004066|GO:0005524|GO:0016787
dm	dm3219	bur	FBgn0000239	K01951	GO:0003921|GO:0003922|GO:0005524
mm	mm6093	Gmps	ENSMUSG00000027823	K01951	GO:0003921|GO:0003922|GO:0019899|GO:0000166|GO:0003824|GO:0016874|GO:0005524
sc	sc2087	GUA1	YMR217W	K01951	GO:0003824|GO:0003922|GO:0016874|GO:0005524|GO:0000166
sc	sc2362	TRP3	YKL211C	K01609|K01658	GO:0003824|GO:0016740|GO:0016829|GO:0004425|GO:0004049
hs	hs4628	GMPS	ENSG00000163655	K01951	GO:0003921|GO:0003922|GO:0019899|GO:0000166|GO:0016874|GO:0005524

#Cluster id: 1757
#Entropy: 0.0
#Isologs:
mm	mm20002	Fhit	ENSMUSG00000060579	K01522	GO:0016787|GO:0016151|GO:0047710|GO:0003824
sc	sc4656	HNT2	YDR305C		GO:0003824|GO:0016787|GO:0017111|GO:0047710
hs	hs19284	FHIT	ENSG00000189283	K01522	GO:0016787|GO:0016151|GO:0003824|GO:0005515|GO:0047710

#Cluster id: 1853
#Entropy: 0.0
#Isologs:
ce	ce2875				
dm	dm2818	htl	FBgn0010389	K08252	GO:0005007|GO:0004713|GO:0005524|GO:0005515
mm	mm3097				
hs	hs3401	FGFR3	ENSG00000068078|P22607		GO:0005007|GO:0017134|GO:0000166|GO:0016740|GO:0042802|GO:0004713|GO:0005515|GO:0005524|GO:0004872

#Cluster id: 1925
#Entropy: 0.0
#Isologs:
ce	ce17629	frh-1	F59G1.7		
dm	dm11446	fh	FBgn0030092		
mm	mm17639	Fxn	ENSMUSG00000059363		GO:0019899
mm	mm19446				
sc	sc5094	YFH1	YDL120W		GO:0008198|GO:0004322|GO:0034986
hs	hs16975	FXN	ENSG00000165060		GO:0005515|GO:0051536|GO:0051537|GO:0008198|GO:0008199|GO:0034986

#Cluster id: 2016
#Entropy: 1.0
#Isologs:
ce	ce806	egl-15	F58A3.2		GO:0005515|GO:0004674|GO:0004713|GO:0005524|GO:0004672
mm	mm2838	Fgfr1	ENSMUSG00000031565	K04362	GO:0001948|GO:0005007|GO:0016301|GO:0016740|GO:0017134|GO:0000166|GO:0004714|GO:0004872|GO:0005515|GO:0004672|GO:0032403|GO:0050839|GO:0008201|GO:0005524|GO:0004713
hs	hs3305	FGFR2	ENSG00000066468	K05093	GO:0005515|GO:0017134|GO:0000166|GO:0016740|GO:0004872|GO:0005007|GO:0008201|GO:0005524|GO:0004713

#Cluster id: 2365
#Entropy: 1.0
#Isologs:
ce	ce1307	dre-1	K04A8.6		GO:0004842|GO:0008270|GO:0005515
ce	ce754	BE0003N10.3	BE0003N10.3		
dm	dm1104	CG9461	FBgn0037760	K01931	GO:0004842|GO:0008270
mm	mm2721	Fbxo11	ENSMUSG00000005371		GO:0046872|GO:0004842|GO:0008270
hs	hs3138	FBXO11	ENSG00000138081	K10297	GO:0016274|GO:0046872|GO:0004842|GO:0008270|GO:0005515

#Cluster id: 2426
#Entropy: 0.0
#Isologs:
dm	dm8549	slp1	FBgn0003430		GO:0003700|GO:0043565|GO:0003702
dm	dm4005	CG11152	FBgn0039937		GO:0003700|GO:0043565
mm	mm10697	Foxl2	ENSMUSG00000050397	K09405	GO:0003700|GO:0043565|GO:0030331|GO:0005515|GO:0003677
hs	hs11182	FOXL2	ENSG00000183770	K09405	GO:0043565|GO:0031624|GO:0030331|GO:0003700|GO:0043028|GO:0005515|GO:0003677

#Cluster id: 2463
#Entropy: 0.721928
#Isologs:
