Species	Isobase_id	Name	Ensembl_gene	KEGG	GO

#Cluster id: 23
#Entropy: 0.0
#Isologs:
ce	ce17919	his-33	F17E9.13		GO:0043565|GO:0003677
ce	ce17321	Q23429_CAEEL	ZK1251.1		GO:0043565|GO:0003677
dm	dm12944				GO:0003677
dm	dm9284	CG40182	FBgn0058182		GO:0003677
mm	mm20774	Hist1h2ae	ENSMUSG00000069272		
mm	mm20898	Hist1h2af	ENSMUSG00000061991		GO:0003677
mm	mm22426	Hist2h2aa2	ENSMUSG00000063954		
sc	sc5540	HTA2	YBL003C		GO:0003677
hs	hs19962	HIST1H2AJ	ENSG00000180573|ENSG00000181218|ENSG00000182611|ENSG00000183558|ENSG00000184348|ENSG00000184825|ENSG00000196787|ENSG00000196866|ENSG00000198374|NP_003		GO:0003677

#Cluster id: 47
#Entropy: 0.0
#Isologs:
ce	ce1686	UBIQ_CAEEL	F25B5.4	K08770	
ce	ce12378	O44819_CAEEL	F52C6.4		
dm	dm4787	Ubi-p5E	FBgn0086558		GO:0005515
mm	mm4668	Ubc	ENSMUSG00000008348		
sc	sc3172	UBI4	YLL039C		GO:0003735|GO:0043008|GO:0031386
hs	hs6833		AAH08955.2		

#Cluster id: 61
#Entropy: 0.0
#Isologs:
ce	ce11141	let-92	F38H4.9	K04382	GO:0016787|GO:0017151
dm	dm8813	mts	FBgn0004177	K04382	GO:0019208|GO:0004722
mm	mm13671	Ppp2cb	ENSMUSG00000009630	K04382	GO:0016787|GO:0008022|GO:0004722|GO:0004721|GO:0019904|GO:0005515|GO:0046872
sc	sc3267	PPH21	YDL134C	K04382	GO:0016787|GO:0046872|GO:0004722|GO:0004721
sc	sc3195	PPH22	YDL188C	K04382	GO:0016787|GO:0046872|GO:0004722|GO:0004721
hs	hs13621	PPP2CA	ENSG00000104695|ENSG00000113575|NP_002706.1	K04382	GO:0016787|GO:0008022|GO:0046872|GO:0004721|GO:0005515

#Cluster id: 121
#Entropy: 0.918296
#Isologs:
ce	ce15142	rab-5	F26H9.6	K07976	GO:0003924|GO:0005515|GO:0005525
dm	dm10755	Rab5	FBgn0014010	K07976	GO:0003924|GO:0005525
mm	mm17301	Rab5a	ENSMUSG00000017831	K07887	GO:0019001|GO:0051021|GO:0003924|GO:0005525|GO:0000166
sc	sc4737	VPS21	YOR089C	K07976	GO:0000166|GO:0003924|GO:0005525
sc	sc4621	YPT53	YNL093W	K07976	GO:0000166|GO:0003924|GO:0005525
hs	hs16784	RAB5A	ENSG00000144566	K07887	GO:0003924|GO:0000166|GO:0019001|GO:0051021|GO:0005515|GO:0019003|GO:0005525

#Cluster id: 136
#Entropy: 0.0
#Isologs:
ce	ce10261	PP4C1_CAEEL	Y75B8A.30	K01090	GO:0016787
ce	ce10985	pph-4.2	Y49E10.3		GO:0016787
dm	dm8874	Pp4-19C	FBgn0023177	K01090	GO:0016787|GO:0004722
dm	dm8679	CG11597	FBgn0036212	K01090	GO:0004722
mm	mm13877	Ppp4c	ENSMUSG00000030697	K01090	GO:0016787|GO:0004722|GO:0004721|GO:0004704|GO:0005515|GO:0046872
sc	sc3829	PPH3	YDR075W	K01090	GO:0016787|GO:0046872|GO:0004722|GO:0004721
hs	hs13723	PPP4C	ENSG00000149923	K01090	GO:0004704|GO:0046872|GO:0004722|GO:0005515|GO:0016787

#Cluster id: 154
#Entropy: 0.0
#Isologs:
ce	ce5924	hda-1	C53A5.3	K06067	GO:0004407|GO:0003714
ce	ce4953	hda-2	C08B11.2		GO:0004407|GO:0003714
dm	dm4975	Rpd3	FBgn0015805	K06067	GO:0004407|GO:0003714|GO:0005515
mm	mm7796	AC163648.2	ENSMUSG00000061062		
mm	mm7761	Hdac1	ENSMUSG00000028800	K06067	GO:0016787|GO:0003700|GO:0004407|GO:0008134|GO:0003714|GO:0016564|GO:0005515|GO:0003677|GO:0032403|GO:0003682
sc	sc2765	RPD3	YNL330C	K06067	GO:0043565|GO:0016787|GO:0003714|GO:0003713|GO:0004407
sc	sc2609	HOS2	YGL194C		GO:0004407|GO:0045129|GO:0017136|GO:0016787
sc	sc2464	HOS1	YPR068C		GO:0016787|GO:0004407
hs	hs8312	HDAC1	ENSG00000116478|NP_004955.2	K06067	GO:0016787|GO:0003700|GO:0004407|GO:0008134|GO:0019899|GO:0016566|GO:0016563|GO:0005515|GO:0033558|GO:0042826|GO:0042802

#Cluster id: 339
#Entropy: 0.0
#Isologs:
ce	ce17537	uev-1	F39B2.2	K10704	GO:0019787
dm	dm12488	Uev1A	FBgn0035601	K10704	GO:0004842
mm	mm20244	Ube2v2	ENSMUSG00000022674	K10704	GO:0019787|GO:0005515
mm	mm20163	AC122503.1	ENSMUSG00000027694		
mm	mm20118	AC079831.1	ENSMUSG00000060811		
mm	mm21483				
mm	mm21516				
sc	sc5483	MMS2	YGL087C	K10704	GO:0019787|GO:0016874|GO:0004842
hs	hs19373	UBE2V2	ENSG00000169139|NP_003341.1	K10704	GO:0019787|GO:0005515

#Cluster id: 346
#Entropy: 0.0
#Isologs:
mm	mm18365	Kras	ENSMUSG00000030265		GO:0019002|GO:0019003|GO:0003924|GO:0030275
sc	sc3672	RAS2	YNL098C	K07974	GO:0000166|GO:0003924|GO:0005525
hs	hs17772	KRAS	ENSG00000133703		GO:0003924|GO:0000166|GO:0019002|GO:0019003|GO:0005515|GO:0030275|GO:0005525

#Cluster id: 489
#Entropy: 0.0
#Isologs:
ce	ce7584				
ce	ce7121	T05H10.6	T05H10.6	K00161	GO:0016624|GO:0004739
dm	dm6231	l(1)G0334	FBgn0028325	K00161	GO:0004739
dm	dm5656	CG7024	FBgn0029722	K00161	GO:0004739
mm	mm10254	Pdha1	ENSMUSG00000031299	K00161	GO:0004738|GO:0004739|GO:0016491|GO:0016624
mm	mm10228	Pdha2	ENSMUSG00000047674	K00161	GO:0004739|GO:0016491|GO:0016624
sc	sc2865	PDA1	YER178W	K00161	GO:0004739|GO:0016624|GO:0016491
sc	sc2678				
hs	hs10780	PDHA1	ENSG00000131828|NP_000275.1		GO:0004739|GO:0005515|GO:0016491

#Cluster id: 498
#Entropy: 0.0
#Isologs:
ce	ce17994	Q20229_CAEEL	F40F8.9		
dm	dm12669	CG4279	FBgn0034600		
mm	mm21644	Lsm1	ENSMUSG00000037296		GO:0003723
sc	sc5105	LSM1	YJL124C		GO:0000339|GO:0003723
hs	hs19829	LSM1	ENSG00000175324		GO:0003723|GO:0005515

#Cluster id: 684
#Entropy: 0.0
#Isologs:
ce	ce8400	NPP17_CAEEL	F10G8.3		
dm	dm8069	Rae1	FBgn0034646		
dm	dm8274	CG12782	FBgn0034838		
mm	mm10935	Rae1	ENSMUSG00000027509		
mm	mm12182				
sc	sc3309	GLE2	YER107C		GO:0005198
sc	sc3509	BUB3	YOR026W	K02180	
hs	hs11426	RAE1	ENSG00000101146|NP_003601.1		GO:0008017|GO:0003723

#Cluster id: 753
#Entropy: 0.0
#Isologs:
ce	ce15322	mdf-2	Y69A2AR.30	K02537	
dm	dm11032	mad2	FBgn0035640	K02537	
mm	mm17691	Mad2l1	ENSMUSG00000029910	K02537	
sc	sc4883	MAD2	YJL030W	K02537	
hs	hs17174	MAD2L1	ENSG00000164109	K02537	GO:0005515|GO:0042803

#Cluster id: 830
#Entropy: 0.650022
#Isologs:
ce	ce1792	rad-54	W06D4.6	K10875	GO:0004386|GO:0003676|GO:0005524|GO:0003677
