Species	Isobase_id	Name	Ensembl_gene	KEGG	GO

#Cluster id: 188
#Entropy: 0.0
#Isologs:
ce	ce12104	sdhb-1	F42A8.2	K00235	GO:0051536|GO:0009055|GO:0016491
dm	dm9060	SdhB	FBgn0014028	K00235	GO:0051536|GO:0008177|GO:0009055
dm	dm6345	CG7349	FBgn0030975	K00235	GO:0051536|GO:0000104|GO:0009055
mm	mm14827	Sdhb	ENSMUSG00000009863	K00235	GO:0016491|GO:0051538|GO:0051539|GO:0051536|GO:0051537|GO:0008177|GO:0046872|GO:0009055
sc	sc4221	SDH2	YLL041C	K00235	GO:0051538|GO:0051539|GO:0051536|GO:0051537|GO:0008177|GO:0009055|GO:0046872|GO:0016491
hs	hs14610	SDHB	ENSG00000117118	K00235	GO:0016491|GO:0051538|GO:0051539|GO:0051537|GO:0008177|GO:0005515|GO:0048039|GO:0046872|GO:0009055

#Cluster id: 269
#Entropy: 0.0
#Isologs:
ce	ce9975	ceh-20	F31E3.1	K09355	GO:0003700|GO:0043565|GO:0005515|GO:0030528|GO:0003677
dm	dm7519	exd	FBgn0000611	K09355	GO:0003700|GO:0043565|GO:0003704|GO:0005515|GO:0003677
mm	mm9113	Pbx1	ENSMUSG00000052534		GO:0043565|GO:0003700|GO:0030528|GO:0005515|GO:0003677|GO:0046982
sc	sc4128	TOS8	YGL096W		GO:0003700|GO:0043565|GO:0016564|GO:0003682|GO:0003677
sc	sc3855	CUP9	YPL177C		GO:0043565|GO:0003700|GO:0003704|GO:0016564|GO:0016563|GO:0003677
hs	hs9670	PBX1	ENSG00000185630	K09355	GO:0043565|GO:0003700|GO:0008134|GO:0005515|GO:0003677|GO:0046982

#Cluster id: 323
#Entropy: 0.0
#Isologs:
mm	mm2203				
sc	sc540	CYC8	YBR112C		GO:0016565|GO:0003713|GO:0005488
hs	hs2549	RB1	ENSG00000139687	K06618	GO:0031625|GO:0003700|GO:0051219|GO:0008134|GO:0003713|GO:0019900|GO:0016564|GO:0005515|GO:0003677|GO:0050681

#Cluster id: 539
#Entropy: 0.0
#Isologs:
ce	ce503	T08A11.2	T08A11.2		GO:0005488
dm	dm789	CG2807	FBgn0031266		GO:0005488
mm	mm876	Sf3b1	ENSMUSG00000025982		GO:0003682|GO:0005488|GO:0005515
sc	sc533	HSH155	YMR288W		GO:0005488|GO:0003729
hs	hs1112	SF3B1	ENSG00000115524		GO:0003682|GO:0005515

#Cluster id: 608
#Entropy: 0.0
#Isologs:
ce	ce4556	unc-61	Y50E8A.4		GO:0005515|GO:0005525
dm	dm6648	Sep2	FBgn0014029		GO:0003924|GO:0005515|GO:0005525
dm	dm6601	Sep5	FBgn0026361		GO:0003924|GO:0005515|GO:0005525
mm	mm9025	Sept6	ENSMUSG00000050379		GO:0000166|GO:0005515|GO:0005525
sc	sc3669	CDC10	YCR002C		GO:0005525|GO:0003924|GO:0005545|GO:0005200|GO:0000166
hs	hs9592	SEPT6	ENSG00000125354		GO:0000166|GO:0005515|GO:0005525

#Cluster id: 613
#Entropy: 0.0
#Isologs:
ce	ce8274	kin-2	R07E4.6	K04739	GO:0008603
dm	dm7527	Pka-R1	FBgn0259243	K04739	GO:0030551|GO:0008603
mm	mm9937	Prkar1a	ENSMUSG00000020612	K04739	GO:0030552|GO:0016301|GO:0008603|GO:0005515|GO:0000166
sc	sc2885	BCY1	YIL033C		GO:0030552|GO:0008603|GO:0000166|GO:0004862|GO:0004691|GO:0004690
hs	hs11025	PRKAR1A	ENSG00000108946	K04739	GO:0030552|GO:0008603|GO:0005515|GO:0000166

#Cluster id: 660
#Entropy: 0.0
#Isologs:
ce	ce17823	rpl-22	C27A2.2	K02891	GO:0003735
dm	dm9021	RpL22	FBgn0015288	K02891	GO:0003735
mm	mm21081	Rpl22	ENSMUSG00000028936	K02891	GO:0003735|GO:0003723|GO:0008201
mm	mm22796				
sc	sc5749	RPL22A	YLR061W	K02891	GO:0003735
hs	hs20085	RPL22	ENSG00000116251|NP_000974.1		GO:0003735|GO:0003723|GO:0008201

#Cluster id: 665
#Entropy: 0.0
#Isologs:
ce	ce13674	sbds-1	W06E11.4		
dm	dm10037	CG8549	FBgn0035714		
mm	mm15917	Sbds	ENSMUSG00000025337		
mm	mm15971				
sc	sc4350	SDO1	YLR022C		
hs	hs15626	SBDS	ENSG00000126524		GO:0008017|GO:0005515|GO:0019843

#Cluster id: 757
#Entropy: 0.0
#Isologs:
ce	ce1182	LONM_CAEEL	C34B2.6	K08675	GO:0004176|GO:0004252|GO:0017111|GO:0000166|GO:0016887|GO:0005524
dm	dm1543	CG8798	FBgn0036892	K08675	GO:0004176|GO:0004252|GO:0005524
mm	mm2102	Lonp1	ENSMUSG00000041168	K08675	GO:0004176|GO:0016787|GO:0004252|GO:0017111|GO:0000166|GO:0070362|GO:0016887|GO:0003677|GO:0070361|GO:0008233|GO:0070363|GO:0070364|GO:0003697|GO:0005524|GO:0008236
sc	sc335	PIM1	YBL022C	K08675	GO:0004176|GO:0016787|GO:0004252|GO:0017111|GO:0000166|GO:0008233|GO:0005524|GO:0008236
hs	hs2387	LONP1	ENSG00000196365	K08675	GO:0004176|GO:0004252|GO:0070182|GO:0070363|GO:0051880|GO:0043531|GO:0043565|GO:0016887|GO:0003697|GO:0003727|GO:0005515|GO:0070361|GO:0008233|GO:0000166|GO:0070364|GO:0070362|GO:0005524

#Cluster id: 851
#Entropy: 0.0
#Isologs:
ce	ce1155	rpn-1	T22D1.9	K03028	GO:0030234
dm	dm1878	Rpn1	FBgn0028695	K03028	GO:0030234|GO:0004175|GO:0005488
mm	mm2330	Psmd2	ENSMUSG00000006998	K03028	GO:0030234|GO:0005488|GO:0005515
sc	sc506	RPN1	YHR027C	K03028	GO:0030234|GO:0030674|GO:0004175|GO:0005488
hs	hs2694	PSMD2	AAH07897.1|ENSG00000175166	K03028	GO:0030234|GO:0005515

#Cluster id: 908
#Entropy: 0.0
#Isologs:
ce	ce15558	NACA_CAEEL	Y65B4BR.5	K03626	
dm	dm10809	Nacalpha	FBgn0086904	K03626	GO:0005515
mm	mm17351				
mm	mm184	Naca	ENSMUSG00000061315	K03626	GO:0017025|GO:0003713|GO:0003677
sc	sc5085	EGD2	YHR193C	K03626	GO:0032266|GO:0070300|GO:0070273|GO:0051082|GO:0080025
hs	hs16808	NACA	ENSG00000196531|NP_005585.1		GO:0003677

#Cluster id: 1019
#Entropy: 0.811278
#Isologs:
ce	ce4201	F21D5.1	F21D5.1	K01836	GO:0004610|GO:0000287|GO:0016868
dm	dm4567	CG10627	FBgn0036298	K01836	GO:0004610|GO:0000287
mm	mm6421	Pgm3	ENSMUSG00000056131		GO:0016853|GO:0000287|GO:0004614|GO:0004610|GO:0016868|GO:0046872
sc	sc1885	PCM1	YEL058W	K01836	GO:0046872|GO:0004610|GO:0016853|GO:0000287|GO:0016868
hs	hs6901	PGM3	ENSG00000013375	K01835	GO:0000287|GO:0004610|GO:0016853|GO:0004614

#Cluster id: 1142
#Entropy: 0.0
#Isologs:
ce	ce166	nmy-1	F52B10.1	K10352	GO:0003774|GO:0005524
dm	dm251	zip	FBgn0005634	K10352	GO:0032027|GO:0003774|GO:0005524|GO:0042623
mm	mm271	Myh9	ENSMUSG00000022443		GO:0000146|GO:0030898|GO:0000166|GO:0003779|GO:0051015|GO:0005515|GO:0043531|GO:0003774|GO:0005524|GO:0005516
sc	sc42	MYO1	YHR023W		GO:0003779|GO:0003774|GO:0000146|GO:0005524|GO:0000166
hs	hs370	MYH9	ENSG00000100345|NP_002464.1		GO:0030898|GO:0000146|GO:0016887|GO:0043495|GO:0051015|GO:0000166|GO:0003779|GO:0005516|GO:0005515|GO:0043531|GO:0003774|GO:0005524|GO:0042803

#Cluster id: 1903
#Entropy: 0.0
#Isologs:
ce	ce11402	spr-2	C27B7.1		
dm	dm9625	Set	FBgn0014879		GO:0030332
dm	dm9333	CG5017	FBgn0039553		
mm	mm14629				
mm	mm14991	Set	ENSMUSG00000054766		
mm	mm15696				
mm	mm16237				
mm	mm16474				
mm	mm15478				
mm	mm15012				
mm	mm17062				
mm	mm15362				
hs	hs14328	SET	ENSG00000119335		GO:0008601|GO:0042393|GO:0004864|GO:0005515

#Cluster id: 2049
#Entropy: 0.0
#Isologs:
ce	ce1872	Q9XXM5_CAEEL	H12C20.2	K10858	GO:0005524|GO:0030983
dm	dm1963	Pms2	FBgn0011660	K10858	GO:0005524|GO:0030983
mm	mm2640	Eif2ak1	ENSMUSG00000029613		GO:0003743|GO:0020037|GO:0016301|GO:0000166|GO:0004674|GO:0016740|GO:0004672|GO:0042803|GO:0005524|GO:0004694
sc	sc719	PMS1	YNL082W		GO:0016887|GO:0000404|GO:0030983|GO:0032139|GO:0032135|GO:0003690|GO:0003697|GO:0005524
sc	sc641				
sc	sc1205	MLH2	YLR035C		GO:0043566|GO:0003697|GO:0016887|GO:0000404|GO:0030554|GO:0000217|GO:0030983|GO:0032553|GO:0032559|GO:0001883|GO:0032139|GO:0032555|GO:0017076|GO:0032135|GO:0000166|GO:0003690|GO:0005524|GO:0001882
hs	hs2997	PMS2	ENSG00000122512	K10858	GO:0016787|GO:0004519|GO:0032138|GO:0030983|GO:0005515|GO:0003677|GO:0032407|GO:0003697|GO:0005524

#Cluster id: 2091
#Entropy: 0.0
#Isologs:
ce	ce3715	Q9GZH4_CAEEL	T22D1.4	K00730	GO:0004579
dm	dm5987	CG33303	FBgn0053303	K00730	GO:0004579
dm	dm349				
mm	mm6297	Rpn1	ENSMUSG00000030062		GO:0016740|GO:0004579
sc	sc2419	OST1	YJL002C	K00730	GO:0016740|GO:0004579
hs	hs5757	RPN1	ENSG00000163902|NP_002941.1	K00730	GO:0016740|GO:0004579|GO:0005515

#Cluster id: 2433
#Entropy: 0.0
#Isologs:
ce	ce4028	psf-1	F25B5.7		GO:0003676|GO:0000166
dm	dm2725	nonA	FBgn0004227		GO:0008187|GO:0003729|GO:0000166
dm	dm3660	nonA-l	FBgn0015520		GO:0008187|GO:0003729|GO:0000166
dm	dm9225	CG12460	FBgn0040045		GO:0003676|GO:0000166
mm	mm4174	Sfpq	ENSMUSG00000028820		GO:0003676|GO:0003677|GO:0003723|GO:0005515|GO:0000166
mm	mm14936				
hs	hs4465	SFPQ	ENSG00000116560|NP_005057.1		GO:0003677|GO:0003723|GO:0005515|GO:0000166

#Cluster id: 2474
#Entropy: 0.0
#Isologs:
ce	ce3701				
ce	ce2939	unc-11	C32E8.10		GO:0005543|GO:0030276|GO:0005545
dm	dm5831	lap	FBgn0086372		GO:0030276|GO:0005545
mm	mm4628	Picalm	ENSMUSG00000039361		GO:0005543|GO:0030276|GO:0005545|GO:0017124
sc	sc1813	YAP1802	YGR241C		GO:0005543|GO:0030276|GO:0005545
sc	sc1447	YAP1801	YHR161C		GO:0005543|GO:0030276|GO:0005545
hs	hs5125	PICALM	ENSG00000073921		GO:0032050|GO:0005543|GO:0030276|GO:0005545|GO:0005515

#Cluster id: 2720
#Entropy: 0.0
#Isologs:
ce	ce16113	mev-1	T07C4.7	K00236	GO:0016627|GO:0000104|GO:0009055
dm	dm12305				
dm	dm11886	CG6666	FBgn0037873	K00236	GO:0000104|GO:0008177|GO:0009055
dm	dm9821	CG6629	FBgn0037860	K00236	GO:0000104
mm	mm19140	Sdhc	ENSMUSG00000058076	K00236	GO:0016627|GO:0046872|GO:0000104|GO:0009055
sc	sc4865	SDH3	YKL141W	K00236	GO:0046872|GO:0016627|GO:0008177|GO:0048038|GO:0000104|GO:0009055
sc	sc4895	YMR118C	YMR118C	K00236	GO:0046872|GO:0016627|GO:0048038|GO:0000104|GO:0009055
hs	hs18441	SDHC	ENSG00000143252		GO:0046872|GO:0000104|GO:0020037|GO:0009055

#Cluster id: 2752
#Entropy: 0.811278
#Isologs:
dm	dm1777	csw	FBgn0000382	K07293	GO:0004726|GO:0004725|GO:0005515|GO:0004728
mm	mm5486	Ptpn11	ENSMUSG00000043733	K07293	GO:0016787|GO:0043560|GO:0005515|GO:0004725|GO:0005158|GO:0004721|GO:0043274|GO:0019904|GO:0051428|GO:0016791
sc	sc3569	PTP1	YDL230W	K01104	GO:0016787|GO:0004725|GO:0016791|GO:0004721
hs	hs5965	PTPN11	ENSG00000179295	K07293	GO:0016787|GO:0043560|GO:0005515|GO:0004726|GO:0004725|GO:0005158|GO:0043274|GO:0019904|GO:0051428

#Cluster id: 2753
#Entropy: 0.0
#Isologs:
ce	ce9043	NHR42_CAEEL	C33G8.6		GO:0003700|GO:0043565|GO:0008270|GO:0003707
dm	dm695	Eip75B	FBgn0000568		GO:0043565|GO:0020037|GO:0003700|GO:0003704|GO:0003707|GO:0008270|GO:0004879
